Polarization of Light 'Brewsters' Data File Tue, Feb 07, 2023 11:33 AM
Sensor Position (Degrees)	Light Intensity (Volts)
136.33333	0.00059
136.21667	0.03861
136.13333	0.00285
136.05000	0.00108
135.98333	0.00220
135.91667	0.00220
135.85000	0.00108
135.78333	0.00108
135.73333	0.00365
135.65000	0.00124
135.53333	0.00204
135.40000	0.00349
135.30000	0.00172
135.21667	0.00285
135.15000	0.00253
135.06667	0.75478
135.00000	0.00559
134.91667	-0.00166
134.78333	0.00301
134.61667	-0.00166
134.48333	0.07807
134.38333	-0.00150
134.28333	0.14073
134.18333	-0.00150
134.10000	0.00333
134.01667	-0.00215
133.93333	0.00172
133.86667	0.06486
133.80000	-0.00166
133.73333	0.41683
133.66667	0.00317
133.56667	0.67859
133.43333	0.00188
133.26667	0.06776
133.13333	-0.00150
133.00000	0.07823
132.88333	-0.00166
132.75000	0.00301
132.61667	0.77507
132.48333	0.00253
132.38333	0.75768
132.30000	0.00236
132.21667	0.06954
132.15000	-0.00102
132.10000	0.08113
132.03333	-0.00134
131.96667	0.08597
131.90000	-0.00263
131.81667	0.07179
131.73333	-0.00118
131.63333	0.08178
131.55000	-0.00215
131.48333	0.00510
131.41667	0.10787
131.36667	-0.00231
131.31667	0.04376
131.28333	-0.00102
131.25000	0.00156
131.18333	0.07340
131.11667	-0.00166
131.05000	0.43809
130.98333	0.00172
130.91667	0.63203
130.85000	0.00301
130.80000	0.65201
130.75000	0.00027
130.70000	0.66344
130.65000	0.00043
130.56667	0.64798
130.50000	0.00365
130.41667	0.63735
130.33333	0.00188
130.25000	0.70468
130.16667	0.00301
130.06667	0.61367
129.93333	0.00269
129.76667	0.65136
129.61667	0.00285
129.46667	0.65845
129.38333	0.00317
129.30000	0.62092
129.21667	0.00188
129.11667	0.64283
128.98333	0.00059
128.86667	0.64766
128.73333	-0.00134
128.60000	0.64170
128.50000	0.00204
128.40000	0.61786
128.31667	0.00253
128.25000	0.65974
128.15000	0.00092
128.05000	0.63542
127.91667	0.00108
127.75000	0.64621
127.63333	0.00301
127.51667	0.68100
127.41667	0.00027
127.35000	0.64991
127.30000	0.00092
127.26667	0.65394
127.23333	0.00285
127.21667	0.64347
127.18333	0.00365
127.11667	0.06503
127.05000	-0.00247
126.95000	0.00494
126.85000	0.08758
126.76667	-0.00215
126.68333	0.04247
126.60000	-0.00311
126.51667	0.07066
126.45000	-0.00086
126.36667	0.08806
126.28333	-0.00263
126.20000	0.00301
126.10000	0.08468
126.03333	-0.00198
125.98333	0.04135
125.96667	-0.00150
125.95000	0.00317
125.93333	0.09563
125.91667	-0.00311
125.88333	0.04070
125.86667	-0.00134
125.85000	0.07904
125.81667	-0.00086
125.78333	0.08468
125.71667	-0.00134
125.65000	0.08645
125.60000	-0.00150
125.53333	0.08258
125.46667	-0.00247
125.36667	0.07888
125.30000	-0.00118
125.23333	0.08581
125.15000	-0.00231
125.06667	0.00156
125.00000	0.07099
124.96667	-0.00134
124.90000	0.04151
124.85000	-0.00150
124.78333	0.00349
124.71667	0.08210
124.63333	-0.00247
124.55000	0.04119
124.46667	-0.00150
124.35000	0.00253
124.20000	0.79827
124.03333	0.00365
123.90000	0.65555
123.83333	0.00333
123.80000	0.80793
123.78333	0.00526
123.75000	0.10691
123.68333	-0.00070
123.60000	0.04199
123.51667	-0.00086
123.40000	0.00172
123.30000	0.07727
123.20000	-0.00070
123.13333	0.03668
123.06667	-0.00134
123.03333	0.00333
123.00000	0.09579
122.96667	-0.00247
122.93333	0.04457
122.86667	-0.00102
122.76667	0.00301
122.66667	0.07856
122.53333	-0.00118
122.38333	0.04392
122.28333	-0.00215
122.18333	0.00381
122.13333	0.07244
122.10000	-0.00182
122.05000	0.04167
121.98333	-0.00118
121.90000	0.00220
121.81667	0.77362
121.75000	0.00172
121.68333	0.47562
121.61667	0.00349
